"LOC_ID","Gene_Symbol","Description"
"LOC105382270","P25","silk protein P25"
"LOC105383718","didum","dilute class unconventional myosin"
"LOC105393570","G6P","Glucose-6-Phosphatase"
"LOC119692563","LOC119692563","uncharacterized LOC119692563"
"LOC105398623","MetRS","methionyl-tRNA synthetase 1"
"LOC119694269","LOC119694269","uncharacterized LOC119694269"
"LOC105398274","LOC105398274","uncharacterized LOC105398274"
"LOC105391665","LOC105391665","mitochondrial 2-oxoglutarate/malate carrier protein"
"LOC105381750","LOC105381750","glyoxylate reductase/hydroxypyruvate reductase"
"LOC125489471","LOC125489471","uncharacterized LOC125489471"
"LOC105380089","run","segmentation protein runt"
"LOC119693496","LOC119693496","uncharacterized LOC119693496"
"LOC119693678","LOC119693678","uncharacterized LOC119693678"
"LOC105387106","LOC119693436","uncharacterized LOC119693436"
"LOC105381140","LOC105381140","sialin"
"LOC105384964","Adk2","Adenosine kinase 2"
"LOC105386950","LOC105386950","uncharacterized LOC105386950"
"LOC105381398","LOC105381398","cytochrome b5"
"LOC105380349","Lim3","Lim3 homeobox protein"
"LOC105387322","Ahcy","adenosylhomocysteinase"
"LOC105386157","Col4a1","Collagen type IV alpha 1"
"LOC105386159","vkg","Collagen alpha-1(IV) chain viking"
"LOC105394550","LOC105394550","tyrosine-protein kinase transmembrane receptor Ror"
"LOC105394980","NFAT","nuclear factor of activated T cells 3"
"LOC105383460","LOC105383460","probable G-protein coupled receptor 158"
"LOC125491425","LOC125491425","uncharacterized LOC125491425"
"LOC119692402","LOC119692402","RCC1-like G exchanging factor-like protein"
"LOC105390212","LOC105390212","short-chain dehydrogenase/reductase family 16C member 6"
"LOC119692424","fray","oxidative stress responsive kinase frayed"
"LOC105391629","LOC105391629","monocarboxylate transporter 6"
"LOC125491456","LOC125491456","trypsin CFT-1-like"
"LOC105391673","Oat","Ornithine aminotransferase precursor"
"LOC105388372","LOC105388372","uncharacterized LOC105388372"
"LOC105396817","Lipt1","Lipoyltransferase 1"
"LOC105396806","LOC105396806","uncharacterized LOC105396806"
"LOC105396775","LOC105396775","gamma-glutamylcyclotransferase"
"LOC105396722","LOC105396722","trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"
"LOC105389299","LOC105389299","zinc finger protein 28"
"LOC105385481","LOC105385481","protein white"
"LOC105386363","LOC105386363","myosin-IIIb"
"LOC105393958","LOC105393958","lysosomal Pro-X carboxypeptidase"
"LOC105390550","LOC105390550","nodal modulator 1"
"LOC125491410","LOC125491410","uncharacterized LOC125491410"
"LOC105388727","Cad89D","cadherin 89D"
"LOC105387476","LOC105387476","protein transport protein SFT2"
"LOC105390653","LOC105390653","uncharacterized LOC105390653"
"LOC105389540","LOC105389540","UDP-glucosyltransferase 2"
"LOC105384022","Lsd-1","lipid storage droplet-1"
"LOC105384544","LOC105384544","uncharacterized LOC105384544"
"LOC119694105","LOC119694105","uncharacterized LOC119694105"
